customer_id,customer_name,age,gender,city,signup_year
CUST0001,Customer_1,56,Female,Pune,2022
CUST0002,Customer_2,69,Female,Ahmedabad,2023
CUST0003,Customer_3,46,Female,Mumbai,2024
CUST0004,Customer_4,32,Female,Kolkata,2019
CUST0005,Customer_5,60,Male,Pune,2020
CUST0006,Customer_6,25,Male,Hyderabad,2022
CUST0007,Customer_7,38,Female,Kolkata,2022
CUST0008,Customer_8,56,Male,Surat,2020
CUST0009,Customer_9,36,Female,Delhi,2022
CUST0010,Customer_10,40,Female,Mumbai,2022
CUST0011,Customer_11,28,Male,Mumbai,2023
CUST0012,Customer_12,28,Male,Mumbai,2023
CUST0013,Customer_13,41,Female,Pune,2020
CUST0014,Customer_14,53,Male,Surat,2019
CUST0015,Customer_15,57,Female,Kolkata,2024
CUST0016,Customer_16,41,Male,Delhi,2024
CUST0017,Customer_17,20,Female,Surat,2022
CUST0018,Customer_18,39,Male,Ahmedabad,2019
CUST0019,Customer_19,19,Female,Hyderabad,2020
CUST0020,Customer_20,41,Male,Bangalore,2020
CUST0021,Customer_21,61,Female,Surat,2023
CUST0022,Customer_22,47,Male,Ahmedabad,2022
CUST0023,Customer_23,55,Female,Delhi,2021
CUST0024,Customer_24,19,Female,Bangalore,2020
CUST0025,Customer_25,38,Male,Bangalore,2022
CUST0026,Customer_26,50,Male,Surat,2019
CUST0027,Customer_27,29,Male,Mumbai,2023
CUST0028,Customer_28,39,Female,Chennai,2024
CUST0029,Customer_29,61,Female,Delhi,2019
CUST0030,Customer_30,42,Female,Mumbai,2020
CUST0031,Customer_31,66,Male,Delhi,2020
CUST0032,Customer_32,44,Male,Chennai,2019
CUST0033,Customer_33,59,Female,Hyderabad,2020
CUST0034,Customer_34,45,Male,Chennai,2022
CUST0035,Customer_35,33,Female,Jaipur,2020
CUST0036,Customer_36,32,Male,Surat,2023
CUST0037,Customer_37,64,Female,Surat,2022
CUST0038,Customer_38,68,Male,Ahmedabad,2021
CUST0039,Customer_39,61,Male,Mumbai,2020
CUST0040,Customer_40,69,Female,Ahmedabad,2020
CUST0041,Customer_41,20,Female,Jaipur,2023
CUST0042,Customer_42,54,Female,Chennai,2023
CUST0043,Customer_43,68,Male,Surat,2024
CUST0044,Customer_44,24,Male,Pune,2019
CUST0045,Customer_45,38,Female,Chennai,2019
CUST0046,Customer_46,26,Female,Chennai,2019
CUST0047,Customer_47,56,Male,Jaipur,2023
CUST0048,Customer_48,35,Male,Hyderabad,2019
CUST0049,Customer_49,21,Male,Delhi,2019
CUST0050,Customer_50,42,Female,Jaipur,2021
CUST0051,Customer_51,31,Male,Delhi,2019
CUST0052,Customer_52,67,Male,Surat,2020
CUST0053,Customer_53,26,Male,Jaipur,2024
CUST0054,Customer_54,43,Male,Delhi,2023
CUST0055,Customer_55,19,Male,Ahmedabad,2022
CUST0056,Customer_56,37,Male,Jaipur,2024
CUST0057,Customer_57,45,Male,Surat,2021
CUST0058,Customer_58,64,Female,Jaipur,2023
CUST0059,Customer_59,24,Male,Surat,2023
CUST0060,Customer_60,61,Female,Jaipur,2020
CUST0061,Customer_61,25,Female,Delhi,2024
CUST0062,Customer_62,64,Female,Hyderabad,2024
CUST0063,Customer_63,52,Male,Kolkata,2019
CUST0064,Customer_64,31,Male,Delhi,2020
CUST0065,Customer_65,34,Male,Mumbai,2019
CUST0066,Customer_66,53,Female,Bangalore,2019
CUST0067,Customer_67,67,Female,Hyderabad,2023
CUST0068,Customer_68,57,Female,Ahmedabad,2024
CUST0069,Customer_69,21,Female,Chennai,2019
CUST0070,Customer_70,19,Female,Delhi,2021
CUST0071,Customer_71,23,Male,Jaipur,2021
CUST0072,Customer_72,59,Male,Delhi,2024
CUST0073,Customer_73,21,Female,Pune,2021
CUST0074,Customer_74,46,Female,Hyderabad,2023
CUST0075,Customer_75,35,Male,Kolkata,2020
CUST0076,Customer_76,43,Female,Ahmedabad,2022
CUST0077,Customer_77,61,Male,Pune,2019
CUST0078,Customer_78,51,Male,Surat,2022
CUST0079,Customer_79,27,Male,Pune,2020
CUST0080,Customer_80,53,Male,Delhi,2020
CUST0081,Customer_81,31,Female,Ahmedabad,2023
CUST0082,Customer_82,48,Male,Delhi,2021
CUST0083,Customer_83,65,Female,Surat,2021
CUST0084,Customer_84,32,Female,Chennai,2020
CUST0085,Customer_85,25,Female,Ahmedabad,2023
CUST0086,Customer_86,31,Male,Chennai,2023
CUST0087,Customer_87,40,Male,Hyderabad,2024
CUST0088,Customer_88,57,Male,Hyderabad,2019
CUST0089,Customer_89,38,Female,Chennai,2021
CUST0090,Customer_90,33,Female,Hyderabad,2020
CUST0091,Customer_91,62,Male,Ahmedabad,2024
CUST0092,Customer_92,35,Female,Jaipur,2022
CUST0093,Customer_93,64,Male,Mumbai,2021
CUST0094,Customer_94,41,Female,Hyderabad,2019
CUST0095,Customer_95,43,Male,Hyderabad,2023
CUST0096,Customer_96,42,Female,Delhi,2020
CUST0097,Customer_97,62,Male,Chennai,2021
CUST0098,Customer_98,58,Female,Bangalore,2022
CUST0099,Customer_99,46,Female,Kolkata,2019
