customer_id,contract_type,tenure_months,internet_service,phone_service,streaming_tv,tech_support,monthly_charges,total_charges,payment_method
CUST0001,Month-to-Month,15,DSL,Yes,No,Yes,78.5,1177.56,Credit Card
CUST0002,Month-to-Month,67,DSL,Yes,Yes,Yes,112.61,7544.97,Mailed Check
CUST0003,One Year,30,No Internet,Yes,No,No,51.75,1552.47,Electronic Check
CUST0004,Month-to-Month,43,DSL,Yes,Yes,No,60.92,2619.77,Bank Transfer
CUST0005,Month-to-Month,60,DSL,Yes,Yes,No,109.01,6540.7,Electronic Check
CUST0006,Month-to-Month,40,Fiber Optic,Yes,No,Yes,78.03,3121.26,Bank Transfer
CUST0007,Month-to-Month,65,No Internet,Yes,Yes,No,68.98,4483.73,Electronic Check
CUST0008,One Year,29,DSL,Yes,No,No,85.01,2465.2,Electronic Check
CUST0009,One Year,19,No Internet,No,No,No,82.61,1569.6,Bank Transfer
CUST0010,One Year,3,Fiber Optic,Yes,No,No,72.37,217.12,Electronic Check
CUST0011,Month-to-Month,36,DSL,No,No,No,77.33,2784.0,Bank Transfer
CUST0012,One Year,43,DSL,Yes,Yes,No,67.64,2908.7,Bank Transfer
CUST0013,One Year,15,Fiber Optic,Yes,No,Yes,79.59,1193.9,Electronic Check
CUST0014,Month-to-Month,41,DSL,Yes,No,No,119.41,4895.67,Electronic Check
CUST0015,Month-to-Month,36,No Internet,Yes,No,No,106.67,3840.03,Bank Transfer
CUST0016,Month-to-Month,33,Fiber Optic,No,Yes,No,77.76,2565.96,Credit Card
CUST0017,One Year,5,Fiber Optic,Yes,No,Yes,79.93,399.63,Electronic Check
CUST0018,One Year,14,DSL,Yes,Yes,Yes,64.42,901.94,Mailed Check
CUST0019,Month-to-Month,68,Fiber Optic,No,Yes,No,68.2,4637.72,Electronic Check
CUST0020,One Year,47,DSL,Yes,Yes,No,63.51,2984.95,Credit Card
CUST0021,Month-to-Month,54,DSL,Yes,Yes,No,96.32,5201.5,Credit Card
CUST0022,Month-to-Month,4,Fiber Optic,Yes,Yes,No,102.33,409.32,Electronic Check
CUST0023,Two Year,9,No Internet,Yes,Yes,No,43.03,387.23,Electronic Check
CUST0024,Two Year,53,DSL,Yes,No,Yes,49.0,2597.04,Mailed Check
CUST0025,Month-to-Month,60,No Internet,Yes,Yes,No,79.82,4789.12,Electronic Check
CUST0026,Month-to-Month,46,DSL,Yes,No,Yes,100.89,4640.98,Credit Card
CUST0027,Month-to-Month,54,No Internet,Yes,Yes,No,80.97,4372.21,Mailed Check
CUST0028,Month-to-Month,37,Fiber Optic,Yes,Yes,No,72.76,2692.02,Electronic Check
CUST0029,Two Year,23,Fiber Optic,Yes,No,Yes,65.58,1508.33,Mailed Check
CUST0030,Two Year,27,Fiber Optic,Yes,No,No,57.62,1555.62,Mailed Check
CUST0031,One Year,70,DSL,Yes,No,No,78.35,5484.49,Credit Card
CUST0032,Month-to-Month,66,No Internet,Yes,No,Yes,109.81,7247.35,Credit Card
CUST0033,One Year,61,DSL,Yes,Yes,Yes,60.48,3689.55,Bank Transfer
CUST0034,Month-to-Month,51,No Internet,Yes,No,No,73.19,3732.44,Credit Card
CUST0035,Two Year,50,Fiber Optic,Yes,No,No,35.95,1797.37,Bank Transfer
CUST0036,Two Year,19,Fiber Optic,Yes,Yes,No,64.71,1229.55,Credit Card
CUST0037,One Year,1,No Internet,Yes,No,No,65.37,65.37,Credit Card
CUST0038,Month-to-Month,40,Fiber Optic,No,No,No,83.61,3344.25,Bank Transfer
CUST0039,Month-to-Month,32,No Internet,Yes,Yes,No,63.85,2043.14,Bank Transfer
CUST0040,Month-to-Month,22,Fiber Optic,Yes,No,No,73.58,1618.68,Bank Transfer
CUST0041,Two Year,66,No Internet,No,No,No,67.26,4439.44,Mailed Check
CUST0042,Month-to-Month,40,DSL,Yes,No,No,108.26,4330.55,Bank Transfer
CUST0043,Month-to-Month,38,DSL,Yes,Yes,No,72.43,2752.15,Mailed Check
CUST0044,Month-to-Month,48,Fiber Optic,Yes,No,Yes,80.15,3847.43,Mailed Check
CUST0045,Two Year,55,DSL,Yes,Yes,Yes,32.18,1769.65,Bank Transfer
CUST0046,Month-to-Month,55,No Internet,Yes,Yes,Yes,64.45,3544.77,Bank Transfer
CUST0047,Two Year,51,No Internet,Yes,Yes,No,50.6,2580.58,Bank Transfer
CUST0048,Two Year,60,Fiber Optic,Yes,No,No,49.2,2951.82,Credit Card
CUST0049,Two Year,8,Fiber Optic,No,No,No,54.19,433.51,Credit Card
CUST0050,Month-to-Month,68,DSL,No,No,No,105.93,7203.23,Bank Transfer
CUST0051,Month-to-Month,9,Fiber Optic,Yes,No,No,110.4,993.64,Electronic Check
CUST0052,Month-to-Month,2,DSL,Yes,Yes,No,108.4,216.81,Bank Transfer
CUST0053,Month-to-Month,70,Fiber Optic,Yes,Yes,Yes,60.99,4269.47,Electronic Check
CUST0054,Month-to-Month,59,Fiber Optic,Yes,No,No,71.21,4201.3,Credit Card
CUST0055,One Year,19,DSL,Yes,No,No,48.75,926.22,Credit Card
CUST0056,Month-to-Month,28,DSL,Yes,No,Yes,82.55,2311.28,Electronic Check
CUST0057,Two Year,14,DSL,Yes,Yes,No,57.27,801.77,Credit Card
CUST0058,Month-to-Month,24,No Internet,Yes,Yes,No,99.92,2398.18,Bank Transfer
CUST0059,One Year,44,Fiber Optic,Yes,Yes,Yes,70.44,3099.5,Electronic Check
CUST0060,One Year,56,DSL,Yes,Yes,No,67.68,3789.99,Electronic Check
CUST0061,One Year,51,Fiber Optic,Yes,Yes,No,54.14,2761.25,Mailed Check
CUST0062,Two Year,32,Fiber Optic,Yes,No,No,35.6,1139.23,Credit Card
CUST0063,One Year,50,Fiber Optic,Yes,No,No,52.71,2635.72,Electronic Check
CUST0064,Two Year,41,Fiber Optic,No,No,No,33.01,1353.42,Electronic Check
CUST0065,Month-to-Month,66,Fiber Optic,Yes,Yes,No,90.98,6004.71,Electronic Check
CUST0066,Month-to-Month,25,Fiber Optic,Yes,Yes,Yes,107.57,2689.27,Credit Card
